id,cycle_phase,category,title,description,image_url,created_at
1,menstrual,nutrition,Iron-Rich Foods,"Focus on iron-rich foods like leafy greens, lentils, and red meat to replenish iron lost during menstruation. This helps combat fatigue and supports energy levels.",https://images.unsplash.com/photo-1546069901-5ec6a79120b0,2025-08-05T12:00:00
2,menstrual,exercise,Gentle Movement,"Opt for gentle yoga, walking, or stretching. These low-intensity activities can help relieve cramps and boost your mood without depleting your energy.",https://images.unsplash.com/photo-1518611012118-696072aa579a,2025-08-05T12:00:00
3,menstrual,self-care,Rest & Reflection,"Give yourself permission to slow down. This is an ideal time for journaling, meditation, and extra sleep to support your body's natural processes.",https://images.unsplash.com/photo-1574873215043-44119461cb3b,2025-08-05T12:00:00
4,follicular,nutrition,Build Energy,"Focus on fresh fruits, sprouted grains, and fish. These foods support increasing estrogen levels and provide sustained energy as your body prepares for ovulation.",https://images.unsplash.com/photo-1494390248081-4e521a5940db,2025-08-05T12:00:00
5,follicular,exercise,Cardio & Strength,"Your energy is rising! This is a great time for more intense workouts like HIIT, running, or strength training. Your body recovers well during this phase.",https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b,2025-08-05T12:00:00
6,follicular,self-care,Try New Things,"As your energy and mood improve, this is an excellent time to socialize, start new projects, or learn new skills. Your cognitive abilities are enhanced.",https://images.unsplash.com/photo-1522202176988-66273c2fd55f,2025-08-05T12:00:00
7,ovulatory,nutrition,Anti-inflammatory Foods,"Focus on fresh vegetables, berries, and fatty fish. These foods support hormone balance and can help manage the slight inflammation that occurs during ovulation.",https://images.unsplash.com/photo-1563289142-7155e0ffefc6,2025-08-05T12:00:00
8,ovulatory,exercise,High-Intensity Workouts,"This is your peak energy phase! Challenge yourself with intense workouts like spinning, boxing, or circuit training. Your body is primed for peak performance.",https://images.unsplash.com/photo-1579126038374-6064e9370f0f,2025-08-05T12:00:00
9,ovulatory,self-care,Connect & Communicate,"Your communication skills peak during ovulation. Schedule important meetings, presentations, or social gatherings during this phase for best results.",https://images.unsplash.com/photo-1556155092-8707de31f9c4,2025-08-05T12:00:00
10,luteal,nutrition,Complex Carbs,"Include sweet potatoes, brown rice, and oats to support serotonin production and manage PMS symptoms. These foods help stabilize blood sugar and mood.",https://images.unsplash.com/photo-1534939561126-855b8675edd7,2025-08-05T12:00:00
11,luteal,exercise,Moderate Movement,"Switch to moderate exercises like Pilates, cycling, or light jogging. These activities support your changing energy levels without depleting your resources.",https://images.unsplash.com/photo-1570655652364-2e0a67455ac6,2025-08-05T12:00:00
12,luteal,self-care,Organize & Plan,"Channel pre-menstrual energy into organizing, planning, and completing tasks. Your attention to detail is heightened during this phase.",https://images.unsplash.com/photo-1484480974693-6ca0a78fb36b,2025-08-05T12:00:00
